101,47,45,166,476,2,40
102,39,63,166,6598,1,1044
110,100,1900,9,7947,2,13
111,100,1900,9,7947,2,13
112,100,1900,9,7947,2,13
113,100,1900,9,7947,2,13
114,100,1900,9,7947,2,13
115,100,1900,9,7947,2,13
119,100,1900,9,7947,2,13
130,60,1440,30,47414,31,32
131,60,1440,30,47414,31,32
132,60,1440,30,47414,31,32
133,60,1440,30,47414,31,32
155,17,58,5863,2212,4,131
156,18,57,6519,2219,5,200
157,14,61,6306,2514,5,200
158,55,20,6059,2291,4,200
164,50,50,200,5443,22,76
165,49,51,200,3094,12,58
166,50,50,200,5175,25,82
301,100,100,230,1320,2,13
302,100,100,230,1220,1,13
303,100,100,230,1391,2,13
311,178,191,61,68411,2,299
313,25,168,8,26611,35,189
314,125,63,7,10486,28,88
315,13,29,7,2132,26,86
316,197,351,38,10232,2,43
317,109,439,38,10232,2,43
318,165,383,38,10232,2,43
319,82,466,38,10232,2,43
329,359,359,200,13129,1,53
332,26,32,708,2002,21,40
333,654,546,687,12352,8,12
103,50,50,2,674,5,9
104,50,50,2,1000,10,10
106,10,10,2,140,5,9
107,10,40,2,357,5,9
108,30,30,2,1242,15,29
109,30,30,2,1336,15,29
